Scientific_Name,English_Name,Tarsus_Length,Bill_Total_Length,Wing_Chord,Bill_Width,Bill_Depth,Wing_pointedness,Tail_Length,Gape_width
Dendrocolaptes sanctithomae,Northern Barred Woodcreeper,28.7,40.5,126.44,9.13,8.53,20,120.5,16.29
Dendroplex kienerii,Zimmer's Woodcreeper,21.14,29.27,100.13,4.88,6.33,18.56,89.79,NA
Dendroplex picus,Straight-billed Woodcreeper,20.29,28.24,97.71,4.8,6.53,17.81,82.71,NA
Dichrozona cincta,Banded Antbird,20.8,17.74,59.17,3.55,3.54,10.53,24.8,NA
Pipra pipra,White-crowned Manakin,14.01,11.97,62.54,4.5,4.43,17.26,26.96,9.06
Doliornis remseni,Chestnut-bellied Cotinga,28.3,18.4,97,4.9,5.1,13.6,84,11.8
Doliornis sclateri,Bay-vented Cotinga,25.87,19.03,100,5.03,5.77,13.83,95.33,12.43
Drymophila caudata,Long-tailed Antbird,18.75,19.43,53.9,4.21,3.54,10.3,79.15,NA
Drymophila devillei,Striated Antbird,18.28,13.8,50.82,4.07,3.7,11.16,64.1,NA
Drymophila ferruginea,Ferruginous Antbird,18.59,16.14,52.6,4.25,3.99,6.19,60.32,NA
Drymophila genei,Rufous-tailed Antbird,20.66,14.8,54.48,3.32,3.19,9.23,66.38,6.35
Drymophila hellmayri,Santa Marta Antbird,20.34,NA,51.31,4.5,4.02,15.21,77.5,NA
Drymophila klagesi,Klages's Antbird,22.29,NA,53.59,4.5,4.26,8.96,73.28,NA
Drymophila malura,Dusky-tailed Antbird,22.12,14.9,55.42,3.28,3.37,9.06,76.67,6.7
Drymophila ochropyga,Ochre-rumped Antbird,20.27,16.13,52.97,3.57,3.52,8.18,58.95,NA
Drymophila rubricollis,Bertoni's Antbird,19.05,15,52.95,3.91,3.73,8.16,64.06,NA
Drymophila squamata,Scaled Antbird,19.59,16.04,53.49,3.9,3.5,9.97,51.5,NA
Drymophila striaticeps,Long-tailed Antbird,19.31,18.02,52.96,4.24,4.17,8.27,69.77,7.7
Drymornis bridgesii,Scimitar-billed Woodcreeper,33.99,73.72,135.47,5.47,6.91,15.23,114.6,NA
Campylorhamphus pucherani,Greater Scythebill,27.71,63.37,120.79,5.75,7.01,15.4,118.75,NA
Dysithamnus leucostictus,White-streaked Antvireo,20.04,17.3,69.56,4.79,4.98,12.28,47.37,9.7
Dysithamnus mentalis,Plain Antvireo,18.79,15.85,59.77,4.21,4.65,11.01,42.6,8.32
Dysithamnus occidentalis,Bicolored Antvireo,23.45,18.58,69.09,5.09,5.6,6.04,56.38,11.05
Dysithamnus plumbeus,Plumbeous Antvireo,22.54,17.73,70.6,4.39,4.85,11.69,44.78,9.3
Dysithamnus puncticeps,Spot-crowned Antvireo,20,17.55,57.94,4.91,5.08,11.8,37.14,9.75
Dysithamnus stictothorax,Spot-breasted Antvireo,20.49,18.35,59.39,4.76,5.19,7.11,44.14,NA
Dysithamnus striaticeps,Streak-crowned Antvireo,19.27,16.73,58.32,5.13,5.06,14.16,31.4,NA
Dysithamnus xanthopterus,Rufous-backed Antvireo,21.24,17.25,61.85,4.3,4.77,10.56,52.7,NA
Elaenia albiceps,White-crested Elaenia,18.05,13.37,75.16,3.7,3.89,22.15,68.96,8.6
Elaenia brachyptera,NA,18.7,13.64,72,4.49,3.58,20.03,63,8.33
Elaenia chiriquensis,Lesser Elaenia,16.45,12.77,72.4,4.3,4.13,20.8,62.03,9.68
Elaenia cristata,Plain-crested Elaenia,19.07,13.05,66.25,4.8,3.55,15.05,56.5,NA
Elaenia dayi,Great Elaenia,27.55,16.85,97.25,5.85,5.4,12.35,97.75,9.5
Elaenia fallax,Greater Antillean Elaenia,18.31,11.6,67.47,3.67,3.32,18.72,64.36,5.85
Elaenia flavogaster,Yellow-bellied Elaenia,19.42,13.93,77.26,4.72,4.46,16.37,67.8,10.66
Elaenia frantzii,Mountain Elaenia,18.44,12.96,77.47,4.41,3.67,19.33,69.86,9.12
Elaenia gigas,Mottle-backed Elaenia,19.39,15.62,89.55,4.94,4.7,19.54,74.09,9.83
Elaenia martinica,Caribbean Elaenia,20.34,14.64,77.9,4.47,4.38,19.3,68.4,7.72
Elaenia mesoleuca,Olivaceous Elaenia,16,12.5,79.97,4.08,3.76,22.12,66.4,8.85
Elaenia obscura,Highland Elaenia,18.45,15.83,85.62,4.1,5.42,17.12,80.12,10.28
Elaenia pallatangae,Sierran Elaenia,17.51,12.79,74.07,3.53,3.22,21.82,67.93,8.21
Elaenia parvirostris,Small-billed Elaenia,17.79,13.23,69.79,3.55,3.6,19.86,60.64,7.26
Elaenia pelzelni,Brownish Elaenia,21.92,13.88,88.28,5.15,4.4,15.25,74.55,8.6
Elaenia ridleyana,Noronha Elaenia,20.02,14.28,83.62,4.75,4.2,18.5,75,NA
Elaenia ruficeps,Rufous-crowned Elaenia,19.6,15.62,66,4.53,4.03,13.65,55,NA
Elaenia obscura,Highland Elaenia,20.3,13.93,86.67,3.9,3.8,19.03,78,9.13
Elaenia spectabilis,Large Elaenia,19.18,14.89,81.65,4.6,4.44,18.94,72.29,9.51
Elaenia strepera,Slaty Elaenia,16.17,12.45,78.56,4.26,4.09,21.59,63.66,10.19
Eleoscytalopus indigoticus,White-breasted Tapaculo,19.39,15.1,52.31,3.27,3.65,6.23,35.28,NA
Eleoscytalopus psychopompus,Bahia Tapaculo,19.43,12.97,52.27,3.37,3.43,8.3,34.1,7.73
Empidonax affinis,Pine Flycatcher,14.62,13.93,71.5,4.38,3.35,21.67,59,NA
Empidonax albigularis,White-throated Flycatcher,16.82,15.72,61.12,5.58,3.33,23.18,56.75,NA
Empidonax alnorum,Alder Flycatcher,16.4,15.38,65,5.53,3.67,20.3,55.5,NA
Empidonax atriceps,Black-capped Flycatcher,15.69,12.4,59.18,4.21,3.04,22.57,53,NA
Empidonax difficilis,Pacific-slope Flycatcher,16.27,14.45,64.5,5.22,3.3,21.8,58,NA
Empidonax flavescens,Yellowish Flycatcher,16.38,14.12,65.7,5.46,3.68,20.52,57.9,NA
Empidonax flaviventris,Yellow-bellied Flycatcher,16.03,12.93,63.62,5.35,3.52,24.1,50.5,NA
Empidonax fulvifrons,Buff-breasted Flycatcher,14.08,12.38,59.5,4.46,2.98,19.02,53.3,NA
Empidonax hammondii,Hammond's Flycatcher,14.57,12.35,66.62,4.1,2.95,23.15,53.75,NA
Empidonax minimus,Least Flycatcher,15.12,12.46,64.4,4.67,3,22.8,53.7,NA
Empidonax oberholseri,American Dusky Flycatcher,17.52,13.53,66.62,4.6,3.17,18.7,60.62,NA
Empidonax occidentalis,Cordilleran Flycatcher,16.28,16.25,66.7,5.39,3.68,20.6,64,NA
Empidonax traillii,Willow Flycatcher,16.12,15.96,68.9,5.7,3.85,23.52,55,NA
Empidonax virescens,Acadian Flycatcher,15.38,15.11,72.22,6.04,4.4,27.54,57.11,8.7
Empidonax wrightii,American Grey Flycatcher,18,14.82,72,4.53,3.6,21.27,60.62,NA
Griseotyrannus aurantioatrocristatus,Crowned Slaty Flycatcher,14.72,14.6,91,6.58,4.67,20.07,75.75,NA
Empidonomus varius,Variegated Flycatcher,14.95,17.5,97.29,6.22,5.53,23.55,79.48,10.85
Epinecrophylla amazonica,Rio Madeira Antwren,16.14,14.81,49.84,3.74,4,13.01,36.89,8
Epinecrophylla erythrura,Rufous-tailed Antwren,15.72,17.32,53.28,3.81,3.89,12.4,43.84,NA
Epinecrophylla fulviventris,Checker-throated Antwren,16.2,14.72,50.44,4.07,4.21,11.3,34.34,NA
Epinecrophylla gutturalis,Brown-bellied Antwren,15.74,15.08,50.35,3.7,3.92,11.54,41.14,NA
Epinecrophylla haematonota,Stipple-throated Antwren,16.09,14.78,50.36,3.84,3.95,12.02,37.77,7.36
Epinecrophylla leucophthalma,White-eyed Antwren,15.89,14.74,49.63,3.9,3.86,15.16,39.21,NA
Epinecrophylla ornata,Ornate Antwren,16.06,16.22,50.73,3.99,3.88,10.81,36.8,NA
Epinecrophylla spodionota,Foothill Antwren,16.57,14.12,52.95,3.88,4.1,10.54,41.12,NA
Pitta arquata,Blue-banded Pitta,38.62,24.65,90,6.55,7.47,15.7,40.75,14.8
Pitta dohertyi,Sula Pitta,37.9,23.6,94,6.3,7,21.4,44,NA
Pitta erythrogaster,Red-bellied Pitta,38.5,22.15,98.42,7.2,8.25,23.12,38.5,13.47
Pitta granatina,Garnet Pitta,35.95,21.82,86,6.83,8.05,9.57,31,NA
Pitta kochi,Whiskered Pitta,49.24,27.78,109,8.75,11.12,18,47.2,NA
Pitta ussheri,Black-crowned Pitta,39.74,22.94,84.4,5.88,7.32,11.46,29.5,NA
Pitta venusta,Graceful Pitta,40.53,24.53,84,7.07,8.07,7.8,40.33,NA
Terenura callinota,Rufous-rumped Antwren,14.34,15.43,53.72,2.95,3.14,11.32,41.95,NA
Terenura humeralis,Chestnut-shouldered Antwren,14.09,14.07,48.75,3.27,3.31,14.31,35.43,7.67
Terenura sharpei,Yellow-rumped Antwren,14.8,13.65,52.62,2.98,2.95,18.45,44,5.45
Terenura spodioptila,Ash-winged Antwren,14.18,13.85,47.87,3.2,3.24,11.34,36.16,6.3
Eugralla paradoxa,Ochre-flanked Tapaculo,25.98,15.9,59.36,3.63,4.94,7.99,49.52,NA
Eurylaimus javanicus,Banded Broadbill,24.95,29.2,103.76,16.72,11.56,20.06,57.48,NA
Eurylaimus ochromalus,Black-and-yellow Broadbill,20.3,20.2,78.66,12.16,7.85,22.49,47.25,NA
Eurylaimus samarensis,Visayan Broadbill,27.25,32.05,127.25,18.8,14.32,20.73,78.5,NA
Eurylaimus steerii,Wattled Broadbill,21,21.6,79.51,12.88,8.66,21.88,56.47,NA
Euscarthmus meloryphus,Tawny-crowned Pygmy Tyrant,18.3,12.18,45.6,3.06,3.09,10.62,38.44,NA
Euscarthmus rufomarginatus,Rufous-sided Pygmy Tyrant,18.37,10.9,41.73,3.57,3.07,12.07,48.2,5.83
Fluvicola albiventer,Black-backed Water Tyrant,20.43,16.62,68.5,4.67,3.15,16.25,52,NA
Fluvicola nengeta,Masked Water Tyrant,22.21,17.53,70.31,5.16,3.67,16.36,64.33,8
Fluvicola pica,Pied Water Tyrant,20.91,16.33,64.45,4.69,3.49,16.84,47.29,8.66
Formicarius analis,Black-faced Antthrush,32.18,22.02,88.96,5.67,6.03,15.72,56.54,10.95
Formicarius colma,Rufous-capped Antthrush,29.69,20.72,84.82,5.1,5.27,17.58,52.09,NA
Formicarius nigricapillus,Black-headed Antthrush,31.11,24.8,85.08,5.8,6.82,12.47,49.21,NA
Formicarius rufifrons,Rufous-fronted Antthrush,32.23,20.63,84,5.67,6.27,12.53,63.33,11.55
Formicarius rufipectus,Rufous-breasted Antthrush,36.54,26.77,92.03,5.72,6.64,12.69,55.41,NA
Formicivora erythronotos,Black-hooded Antwren,18.3,13.63,48.93,3.43,3.2,13.62,43.63,6.73
Formicivora grantsaui,Sincora Antwren,19.62,12.97,49.79,2.73,3.48,7.31,58.05,6.2
Formicivora grisea,Southern White-fringed Antwren,20.37,15.16,52.87,3.73,3.79,7.13,48.57,NA
Formicivora iheringi,Narrow-billed Antwren,16.9,13.15,52.03,2.81,2.75,10.05,53.69,NA
Formicivora littoralis,Restinga Antwren,21.43,15.78,58.35,3.33,3.95,8.7,58.99,7.6
Formicivora melanogaster,Black-bellied Antwren,19.14,13.46,53.56,2.93,3.67,13.49,52.71,6.6
Formicivora rufa,Rusty-backed Antwren,20.93,16.53,51.3,3.3,3.62,6.17,56.2,NA
Formicivora serrana,Serra Antwren,21.45,13.73,52.01,3.05,3.53,9.21,53.53,6.35
Frederickena unduligera,Undulated Antshrike,35.21,28.7,99.32,7.84,10.21,7.71,86.96,17.05
Frederickena unduligera,Undulated Antshrike,35.17,27.6,100.36,7.99,10.59,6.21,91,18.9
Frederickena viridis,Black-throated Antshrike,33.34,28.53,94.81,7.2,9.97,6.13,77.47,16.35
Furnarius cristatus,Crested Hornero,26.26,16.7,73.78,3.06,3.6,16.1,59.25,6.75
Furnarius figulus,Band-tailed Hornero,25.62,18.6,83.2,3.68,4.37,17.1,58.03,NA
Furnarius leucopus,Pale-legged Hornero,30.52,24.81,90.4,4.06,4.79,16.15,61.53,8.9
Furnarius minor,Lesser Hornero,24.86,19.25,73.94,3.31,3.84,13.42,50.75,6.7
Furnarius rufus,Rufous Hornero,30.87,23.3,95.96,3.92,4.79,16.07,67.2,NA
Furnarius torridus,Bay Hornero,27.97,22.3,89.12,3.87,4.67,13.12,50.25,9.3
Upucerthia serrana,Striated Earthcreeper,28.53,29.86,83.52,4.16,5.34,9.04,86,NA
Geositta antarctica,Short-billed Miner,20.75,16.37,105.72,3.42,3.86,35.48,61,NA
Geositta crassirostris,Thick-billed Miner,26.48,29.26,90.47,5.4,5.64,15.84,58,NA
Geositta cunicularia,Common Miner,21.08,19.95,89.71,3.46,3.66,23.99,49.43,NA
Geositta isabellina,Creamy-rumped Miner,20.66,21.25,116.13,3.76,4.3,32.55,65.14,NA
Geositta maritima,Greyish Miner,17.92,15.2,80.98,2.98,3.22,26.44,50.38,NA
Geositta peruviana,Coastal Miner,20.59,17.3,77.64,3.27,3.56,23.48,51.4,NA
Geositta poeciloptera,Campo Miner,19.48,16.5,74.54,3.38,4,19.93,41.5,NA
Geositta punensis,Puna Miner,21.67,17.2,90.56,3.42,3.65,21.03,54.4,NA
Geositta rufipennis,Rufous-banded Miner,24.17,18.48,101.1,3.7,3.96,23.43,59.58,9.77
Geositta saxicolina,Dark-winged Miner,20.94,16.43,101.82,3.22,3.77,26.16,59.73,NA
Geositta tenuirostris,Slender-billed Miner,22.51,31,111.51,3.27,4.05,27.89,68.38,NA
Glyphorynchus spirurus,Wedge-billed Woodcreeper,16.52,13.84,68.51,4.47,4.22,23.73,65.35,7.93
Grallaria albigula,White-throated Antpitta,52.75,24.2,98.32,6.91,8.08,5.04,68.25,14.9
Grallaria alleni,Moustached Antpitta,45.7,25.7,98,6.6,7.5,17.6,42.5,11.3
Grallaria andicolus,Stripe-headed Antpitta,44.52,21.27,93,5.54,6.7,10.06,46.98,NA
Grallaria bangsi,Santa Marta Antpitta,48.03,24.63,89.33,6.53,7.75,8.5,57.05,13.5
Grallaria blakei,Chestnut Antpitta,44.06,20.9,81.26,5.03,6.01,7.51,41.6,11.1
Grallaria capitalis,Bay Antpitta,45.53,23.52,91.31,6.41,8.39,7.6,50.4,14.4
Grallaria carrikeri,Pale-billed Antpitta,59.2,25.38,107.23,7.43,10.39,6.74,63.49,15.32
Grallaria chthonia,Tachira Antpitta,42,26.6,98.5,5.9,8.4,6.7,39,13.8
Grallaria dignissima,Ochre-striped Antpitta,55.47,27.8,100.53,8.75,10.74,8.9,32.53,NA
Grallaria eludens,Elusive Antpitta,57.63,29.5,104.25,9.27,11.18,8.15,35.72,NA
Grallaria erythroleuca,Red-and-white Antpitta,48.77,25.1,93.81,6.78,8,6.53,51.24,NA
Grallaria erythrotis,Rufous-faced Antpitta,48.97,23.18,91.5,5.58,7.21,6.1,59.14,11.7
Grallaria excelsa,Great Antpitta,60.98,36.9,153.95,9.56,12.69,10.1,63.11,17.1
Grallaria flavotincta,Yellow-breasted Antpitta,47.5,25.7,91.5,6.8,8.3,6.4,43,14.2
Grallaria gigantea,Giant Antpitta,65.11,39.02,149.3,10.77,14.99,9.53,63.93,21.45
Grallaria griseonucha,Grey-naped Antpitta,45.32,21.02,83,5.04,6.9,10.62,36.8,10.77
Grallaria guatimalensis,Scaled Antpitta,45.16,29.72,105.59,6.99,8.93,17.52,43.49,NA
Grallaria haplonota,Plain-backed Antpitta,44.68,27.32,100.99,7.09,9.47,12.14,43.15,13.31
Grallaria hypoleuca,White-bellied Antpitta,45.56,23.6,89.53,6.35,7.8,4.59,52.17,NA
Grallaria kaestneri,Cundinamarca Antpitta,42.43,22.07,82.73,5.23,6,7.43,51.43,12.7
Grallaria milleri,Brown-banded Antpitta,44.33,20.88,85.6,6.07,6.85,10.95,48.8,10.38
Grallaria nuchalis,Chestnut-naped Antpitta,57.77,28.03,112.34,7.02,9.65,4.63,61.96,15.15
Grallaria przewalskii,Rusty-tinged Antpitta,48.43,23.38,92.75,5.87,7.37,8,55.92,NA
Grallaria quitensis,Tawny Antpitta,46.92,25.36,93.95,6.25,7.47,6.58,54.64,NA
Grallaria ridgelyi,Jocotoco Antpitta,68.53,32,128.29,9.23,12.47,8.13,53.58,20.8
Grallaria ruficapilla,Chestnut-crowned Antpitta,51.46,29.26,97.3,6.8,8.55,5.2,58.2,14.2
Grallaria rufocinerea,Bicolored Antpitta,43.51,20.88,86.78,4.89,6.2,7.33,47.32,NA
Grallaria rufula,Rufous Antpitta,42.8,23.93,79.45,4.8,5.8,6.06,41.78,10.36
Grallaria squamigera,Undulated Antpitta,56.41,36.92,139.68,8.25,11.11,15.73,64.36,15.02
Grallaria fenwickorum,Antioquia Antpitta,44.3,22.35,92.6,5.35,6.6,7.9,59.4,12.8
Grallaria varia,Variegated Antpitta,50.86,28.57,119.21,8.31,10.44,10.98,49.01,NA
Grallaria watkinsi,Watkins's Antpitta,52.08,26.93,89.92,6.51,7.92,5.49,47.44,13.2
Grallaricula cucullata,Hooded Antpitta,23.86,14.5,66.76,4.97,4.93,12.2,32.27,NA
Grallaricula cumanensis,Sucre Antpitta,24.4,16.7,64.3,5.33,5.07,17.87,26.4,9.77
Grallaricula ferrugineipectus,Rusty-breasted Antpitta,21.58,NA,62.79,5.58,4.41,NA,32.57,NA
Grallaricula flavirostris,Ochre-breasted Antpitta,21.34,18.8,65.12,5.55,4.94,15.95,26.68,9.47
Grallaricula ferrugineipectus,Rusty-breasted Antpitta,27.24,17.4,73.09,4.64,4.28,13.2,41.16,NA
Grallaricula lineifrons,Crescent-faced Antpitta,28.12,14,75.64,4.81,4.36,10.9,40.4,8
Grallaricula loricata,Scallop-breasted Antpitta,23.64,15.84,67.54,5.46,4.85,17.02,30.38,9.85
Grallaricula nana,Slaty-crowned Antpitta,28.06,17.09,67.36,4.75,4.67,10.11,35.16,9.08
Grallaricula ochraceifrons,Ochre-fronted Antpitta,27.35,17.1,72.81,5.28,5.2,11.79,33.53,9.7
Grallaricula peruviana,Peruvian Antpitta,25.29,15.67,71.31,5.31,5.09,13.77,32.08,8.37
Gubernetes yetapa,Streamer-tailed Tyrant,28.6,26.52,125.62,9.25,8.2,26.52,248.75,NA
Gymnocichla nudiceps,Bare-crowned Antbird,29.27,20.5,75.23,5.23,5.32,8.47,58.04,NA
Gymnoderus foetidus,Bare-necked Fruitcrow,31.56,29.52,199.65,9.46,9.27,20.42,122.7,21.73
Gymnopithys bicolor,Bicolored Antbird,27.74,17.88,74.75,5.13,4.89,9.34,46.24,NA
Gymnopithys leucaspis,White-cheeked Antbird,26.25,18.45,72.03,4.65,4.86,9.11,43.43,NA
Gymnopithys rufigula,Rufous-throated Antbird,27.15,20.82,75.17,4.91,5,10.18,47.95,NA
Haematoderus militaris,Crimson Fruitcrow,28.07,38.9,210.25,15.05,12.32,24.52,130.25,31.05
Myrmeciza fortis,Sooty Antbird,34.18,23.24,82.03,5.41,6.57,8.62,63.74,NA
Myrmeciza immaculata,Immaculate Antbird,33.08,NA,82.01,5.21,6.11,13.98,85.63,NA
Myrmeciza immaculata,Immaculate Antbird,35.27,23.25,82.09,5.4,6.59,6.38,82.22,12.17
Heliobletus contaminatus,Sharp-billed Treehunter,17.79,14.55,69.06,3.04,4.04,19.48,52.88,NA
Hellmayrea gularis,White-browed Spinetail,21.03,15.58,57.62,2.7,3.16,12.39,54,6.25
Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-Tyrant,18.2,13.95,48.88,3.9,3.3,8.75,42.38,6.55
Hemitriccus cohnhafti,NA,15.27,14.25,51,3.97,3.22,14.61,40.5,7.43
Hemitriccus diops,Drab-breasted Bamboo Tyrant,18.2,12.94,53.2,4.02,3.14,11.5,49.4,6.75
Hemitriccus flammulatus,Flammulated Bamboo Tyrant,17.66,14.43,51.41,4.49,3.04,14.59,41.3,NA
Hemitriccus furcatus,Fork-tailed Tody-Tyrant,15.32,10.22,43.12,4.2,3.24,10.26,37.82,5.98
Hemitriccus granadensis,Black-throated Tody-Tyrant,16.56,13.96,43.64,3.24,2.51,8.51,41.86,NA
Hemitriccus griseipectus,White-bellied Tody-Tyrant,14.77,12.75,47.53,4.22,3.28,11.43,41.57,NA
Hemitriccus inornatus,Pelzeln's Tody-Tyrant,14.95,12.1,47,4.28,2.9,13.05,37.75,7.42
Hemitriccus iohannis,Johannes's Tody-Tyrant,17.75,13.6,51,4.55,3.48,12.9,39.75,8.8
Hemitriccus josephinae,Boat-billed Tody-Tyrant,18.2,13.2,48.7,5.6,3.45,9.1,43,7
Hemitriccus kaempferi,Kaempfer's Tody-Tyrant,17.75,12.25,47.1,4.05,3.3,8.8,40.55,6.5
Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,17.85,13.75,54.2,3.67,3.58,8.38,44.72,NA
Hemitriccus minimus,Zimmer's Tody-Tyrant,15.2,13.22,46.75,3.75,2.98,9.53,37.25,NA
Hemitriccus minor,Snethlage's Tody-Tyrant,14.81,12.04,46.39,4.39,3.14,13.6,35.83,6.44
Hemitriccus mirandae,Buff-breasted Tody-Tyrant,17.26,13.17,50.3,3.8,3.37,12.8,45.78,6.67
Hemitriccus nidipendulus,Hangnest Tody-Tyrant,17.5,13.12,43.75,3.52,2.92,8.38,29.75,NA
Hemitriccus obsoletus,Brown-breasted Bamboo Tyrant,19.73,13.62,54.75,4.17,3.08,12.88,49.25,8.1
Hemitriccus orbitatus,Eye-ringed Tody-Tyrant,17.9,13.78,53.25,4.08,3.08,13.6,49.75,8.13
Hemitriccus rufigularis,Buff-throated Tody-Tyrant,17.4,14.9,53,4.25,3.08,13.28,45.75,NA
Hemitriccus spodiops,Yungas Tody-Tyrant,15.37,12.47,48.17,3.83,3,11.17,42.33,5.95
Hemitriccus striaticollis,Stripe-necked Tody-Tyrant,17.8,13.68,48.25,4.08,3.15,10.18,40,NA
Hemitriccus zosterops,White-eyed Tody-Tyrant,15.62,12.88,49.9,4.05,2.85,10.07,46.1,NA
Herpsilochmus atricapillus,Black-capped Antwren,18.04,15.44,51.75,3.83,3.98,9.57,54.86,6.9
Herpsilochmus axillaris,Yellow-breasted Antwren,17.58,15.9,51.92,3.86,3.9,11.44,46.52,7.03
Herpsilochmus dorsimaculatus,Spot-backed Antwren,17.24,15.9,49.36,4.29,4.09,11.16,42.32,NA
Herpsilochmus dugandi,Dugand's Antwren,16.17,15.87,46.67,4.1,3.83,12.13,36.67,7.6
Herpsilochmus gentryi,Ancient Antwren,17.54,16.07,47.84,3.84,3.84,8.62,36.21,7.08
Herpsilochmus longirostris,Large-billed Antwren,19.31,18.4,61.63,4.5,4.33,12.31,53.02,NA
Herpsilochmus motacilloides,Creamy-bellied Antwren,17.76,15.07,52.94,3.88,3.83,8.13,56.77,NA
Herpsilochmus parkeri,Ash-throated Antwren,18.72,17,54.23,4.01,3.87,8.62,57.6,7.35
Herpsilochmus pectoralis,Pectoral Antwren,19.75,16.88,54.31,4.16,4.34,5.72,47.21,NA
Herpsilochmus pileatus,Bahia Antwren,17.37,14.6,49.49,3.86,3.76,9.53,42.46,7.12
Herpsilochmus praedictus,Predicted Antwren,17.61,17.24,49.72,4.38,4.05,9.75,45.8,7.54
Herpsilochmus roraimae,Roraiman Antwren,18.67,16.48,52.22,4.04,4.17,10.29,51.88,NA
Herpsilochmus rufimarginatus,Rufous-winged Antwren,18.23,15.28,49.26,3.94,4,8.36,45.22,NA
Herpsilochmus sellowi,Caatinga Antwren,17.26,12.88,47.52,3.06,3.42,8.36,46.39,5.3
Herpsilochmus stictocephalus,Todd's Antwren,17.01,16.8,48.53,4.04,3.73,10.46,36.97,6.7
Herpsilochmus sticturus,Spot-tailed Antwren,16.85,15.68,48.13,4.05,3.95,11.39,36.23,7.3
Herpsilochmus stotzi,Aripuana Antwren,17.12,16.49,49.84,4.01,3.9,8.64,44.33,7.53
Heterocercus aurantiivertex,Orange-crested Manakin,15.56,14.06,81,4.96,4.52,23.66,51,11
Heterocercus flavivertex,Yellow-crested Manakin,13.1,14.85,81.5,4.38,4.28,18.93,49.25,9.77
Heterocercus linteatus,Flame-crested Manakin,15.53,14.62,85.5,4.67,4.38,20.88,51.25,10.62
Hirundinea ferruginea,Cliff Flycatcher,13.63,21.27,108.43,9.32,5,32.07,71.97,NA
Pitta baudii,Blue-headed Pitta,38.52,25.23,90.25,5.4,7.5,16.23,37.5,NA
Pitta caerulea,Giant Pitta,54.42,39.77,145.75,10.2,13.1,11.4,54.5,NA
Pitta cyanea,Blue Pitta,41.1,25.04,108.4,6.95,8.25,16.15,51.1,NA
Pitta elliotii,Bar-bellied Pitta,36.46,24.92,102.5,6.82,8.72,21.65,50.1,NA
Pitta guajana,Banded Pitta,40.48,26.75,101.5,6.72,8.65,15.68,54,NA
Pitta gurneyi,Gurney's Pitta,36.7,22.25,98.25,6,8.47,17.02,44.75,NA
Pitta irena,Malayan Banded Pitta,37.75,25.04,97,5.7,7.59,17.07,56,12.48
Pitta nipalensis,Blue-naped Pitta,46.5,25.65,113.25,7.47,10.03,11.22,61.25,NA
Pitta oatesi,Rusty-naped Pitta,51.08,28.52,108.75,7.5,10.15,7.25,63.5,NA
Pitta phayrei,Eared Pitta,30.02,29.9,95,7.88,8.6,9.85,49.1,NA
Pitta schneideri,Schneider's Pitta,47.17,30.8,101,8.43,11.15,13.03,46,NA
Pitta schwaneri,Bornean Banded Pitta,39.88,25.82,99.25,5.7,7.67,18.1,58.75,NA
Pitta soror,Blue-rumped Pitta,48.5,28.12,109.25,7.25,9.82,15.18,56.5,NA
Hylexetastes perrotii,Red-billed Woodcreeper,32.05,40.73,125.87,9.24,11.17,14.03,112.03,16.3
Hylexetastes stresemanni,Bar-bellied Woodcreeper,31.76,42.55,129.11,9.64,10.87,11.93,101.5,NA
Hylopezus auricularis,Masked Antpitta,39.2,23.4,88,5.15,6.1,9.4,38.75,11.15
Hylopezus berlepschi,Amazonian Antpitta,38.26,21.38,81.17,5.63,5.85,5.57,38.17,NA
Hylopezus dives,Thicket Antpitta,36.42,20.98,75.32,5.2,5.3,7.22,34.29,13
Hylopezus fulviventris,White-lored Antpitta,36.14,22.05,77.32,5.42,5.97,11.33,34.2,11.15
Hylopezus macularius,Spotted Antpitta,34.12,22.35,82.67,5.85,5.89,20.58,36.24,11.69
Hylopezus nattereri,Speckle-breasted Antpitta,38.61,18.52,76.48,4.2,4.47,10.47,36.45,7.9
Hylopezus ochroleucus,White-browed Antpitta,36.09,18.2,77.43,4.54,4.56,13.5,44.44,NA
Hylopezus macularius,Spotted Antpitta,35.6,21.45,83.79,5.54,5.41,14.3,37.8,NA
Hylopezus perspicillatus,Streak-chested Antpitta,34.77,19.45,79.46,5.54,5.88,15.12,31.98,NA
Hylopezus macularius,Spotted Antpitta,34.95,22.2,86.48,5.91,5.88,9.25,39.32,NA
Hylophylax naevioides,Spotted Antbird,22.14,16.61,62.24,4.77,4.32,12.61,37.37,NA
Hylophylax naevius,Spot-backed Antbird,20.35,16.15,58.35,4.75,3.75,13.6,39.7,NA
Hylophylax punctulatus,Dot-backed Antbird,17.07,16.55,59.21,4.77,4.12,12.65,31.35,NA
Hymenops perspicillatus,Spectacled Tyrant,26.86,19.43,88.07,4.15,5.15,14.05,60.41,8.56
Hypocnemis cantator,Guianan Warbling Antbird,19.55,15.82,53.91,4.5,4.09,11.21,41.12,9.8
Hypocnemis flavescens,Imeri Warbling Antbird,20.19,15.97,53.1,4.66,4.23,8.83,40.68,8.2
Hypocnemis hypoxantha,Yellow-browed Antbird,19.97,16.38,54.87,4.71,4.1,8.88,44.98,NA
